"Timestamp","What is your main occupation?","Select main country or region of your workplace in past 5 years. [among the countries in Top500 list as of Nov. 2018. If you cannot find your country or region, please specify.]","Rate your overall programming skill (non-MPI programs):","Rate your MPI programming skill:","What programming language(s) do you use most often?","How long have you been writing computer programs (incl. non-MPI programs)?","How long have you been writing MPI programs?","Which fields are you mostly working in?","What is your major role at your place of work?","Have you ever read the MPI standard specification document?","How did you learn MPI?","Which MPI book(s) have you read?","Which MPI implementations do you use?","Why did you choose the MPI implementation(s)? [Select most suitable one]","How do you check MPI specifications when you are writing MPI programs?","What is the most difficult part of writing an MPI program?","Which MPI features have you never heard of?","What aspects of the MPI standard do you use in your program in its current form?","Which MPI thread support are you using?","What are your obstacles to mastering MPI?","When you call an MPI routine, how often do you check the error code of the MPI routine  (excepting MPI-IO)?","In most of your programs, do you pack MPI function calls into their own file or files to have your own abstraction layer for communication?","Have you ever written MPI+”X” programs? If so, select all that apply.","Is there any room for performance tuning in your MPI programs? Select most suitable one.","What, if any, alternatives are you investigating to indirectly call MPI or another communication layer by using another parallel language/library?","If there were one communication aspect which is not enough in the current MPI could improve the performance of your application, what would you prioritize? Or is MPI providing all the communication semantics required by your application? If not, what is missing?","Is MPI providing all the communication semantics required by your application? If not, what is missing?","What MPI feature(s) are NOT useful for you application?","Do you think the MPI standard should maintain backward compatibility?","In the tradeoff between code portability and performance, which is more or less important for you to write MPI programs? [""1"" means portability is the most important and ""3"" means both are equally important.]"
"2019/04/09 3:00:43 AM AST","Governmental institute","Italy","6","6","C/C++;Fortran (older one than Fortran 90)","more than 10 years","more than 10 years","Parallel language (incl. domain specific language)","Parallelization of sequential program(s);Performance tuning of MPI program(s);Debugging MPI programs","I read only the chapters of interest for my work.","I read the MPI standard document.;I read book(s).;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","Using MPI","Open MPI;Intel MPI","I am familiar with it.","I read the MPI Standard document (web/book).;I read book(s) (except the MPI standard).;I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Algorithm design","Dynamic process creation;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","MPI_THREAD_MULTIPLE","I have no obstacles.","Mostly","No, MPI calls are scattered in my programs.","OpenMP;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","There are no unnecessary features","Yes, compatibility is very important for me.","4"
"2019/04/09 4:02:53 AM AST","College/University","Switzerland","2","2","Fortran 90 or newer","between 5 and 10 years","between 2 and 5 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;I had lecture(s) at school.;I read articles found on Internet.","Using MPI","Open MPI","I was said to use it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","One-sided communications;Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes","I have never called MPI_INIT_THREAD","I have no obstacles.","Sometimes","No, MPI calls are scattered in my programs.","No","I do not know if there is room for performance tuning.","I am not investigating any alternatives.","","","","","2"
"2019/04/09 4:08:41 AM AST","College/University","Australia","6","5","C/C++;Fortran (older one than Fortran 90);Fortran 90 or newer;Python","between 5 and 10 years","between 5 and 10 years","Parallel language (incl. domain specific language);Numerical application and/or library","Research and development of application(s);Performance tuning of MPI program(s);Debugging MPI programs","No, and I will not read it.","I had lecture(s) at school.;I read articles found on Internet.","","Open MPI;Cray MPI","I could not have any choice (the one provided by a vendor).","I read online documents (such as man pages).","Debugging","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","I have never called MPI_INIT_THREAD","Too many routines.","Sometimes","Yes, to minimize the changes of communication API.","OpenMP;OpenACC;CUDA","No, my MPI programs are well-tuned.","I am not investigating any alternatives.","Multi-threading support","MPI is providing all the communication semantics required by my application","Dynamic process creation","Yes, compatibility is very important for me.","2"
"2019/04/09 4:53:48 AM AST","College/University","Sweden","3","4","C/C++;Fortran 90 or newer;Python","between 2 and 5 years","between 2 and 5 years","Numerical application and/or library","Research and development of application(s);Performance tuning of MPI program(s)","I read only the chapters of interest for my work.","I read book(s).;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).","Parallel Programming with MPI;Using MPI","MPICH;Open MPI;Cray MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read book(s) (except the MPI standard).;I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Domain decomposition","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes","I have never called MPI_INIT_THREAD","No appropriate lecture / book / info.","Never","No, MPI calls are scattered in my programs.","No","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.;A Domain Specific Language (DSL).","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","load balancing","Error handlers","Yes, compatibility is very important for me.","5"
"2019/04/09 5:26:19 AM AST","College/University","Switzerland","3","3","C/C++;Python","between 2 and 5 years","between 2 and 5 years","Numerical application and/or library","Research and development of application(s)","","I had lecture(s) at school.","MPI: The Complete Reference","Open MPI","I am familiar with it.","I read online documents (such as man pages).","Debugging","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes;One-sided communications","I have never called MPI_INIT_THREAD","No appropriate lecture / book / info.","Sometimes","Yes, but I have no special reason for doing that.","OpenMP","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.","Message injection rate","Latency hiding (including asynchronous completion)","There are no unnecessary features","Yes, compatibility is very important for me.","3"
"2019/04/09 5:41:35 AM AST","College/University","Italy","5","3","C/C++","between 2 and 5 years","between 2 and 5 years","Numerical application and/or library","Parallelization of sequential program(s)","I read only the chapters of interest for my work.","Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","Parallel Programming with MPI;Using MPI","MPICH;Open MPI;IBM MPI (BG/Q, PE, Spectrum)","I like to use it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Debugging","Point-to-point communications;Collective communications;MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","Point-to-point communications;Collective communications;MPI datatypes","MPI_THREAD_SINGLE","No appropriate lecture / book / info.;I do not like the API.","Sometimes","Yes, to minimize the changes of communication API.","OpenMP;CUDA","I do not have (know) tools to find performance bottlenecks.","A framework or library using MPI.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Resilience (fault tolerance);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.);Another API which is easier and/or simpler to use","Dynamic process creation","I prefer to have new API which is simpler and/or easier-to-use.","4"
"2019/04/09 7:27:25 AM AST","College/University","Germany","5","3","Fortran 90 or newer;Python;Julia","more than 10 years","between 2 and 5 years","Numerical application and/or library","Research and development of application(s);Research and development software tool(s)","","I read articles found on Internet.","","MPICH;Open MPI;Intel MPI;MS MPI","I have no special reason.","I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Algorithm design","Communicator operations (split, duplicate, and so on);One-sided communications;Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes","I have never called MPI_INIT_THREAD","I have no obstacles.","Sometimes","No, MPI calls are scattered in my programs.","","Yes, I know there is room for tuning but I do not have enough resources to do that.","A framework or library using MPI.","MPI provides all semantics I need","MPI is providing all the communication semantics required by my application","There are no unnecessary features","Yes, compatibility is very important for me.","3"
"2019/04/09 8:40:05 AM AST","Governmental institute","Switzerland","4","5","C/C++;Fortran 90 or newer;Python","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s);Performance tuning of MPI program(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;going through the source code of MPI-enable applications","I have never read any MPI books","MPICH;Open MPI","I have no special reason.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Performance tuning","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI with OpenMP (or multithread)","MPI_THREAD_MULTIPLE","I have no obstacles.","Always","Yes, to minimize the changes of communication API.","OpenMP;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Multi-threading support","MPI is providing all the communication semantics required by my application","One-sided communication;Process topologies;Dynamic process creation","I prefer to have new API for better performance.","4"
"2019/04/09 10:23:33 AM AST","Governmental institute","Italy","5","1","Java;Python","more than 10 years","less than 2 years","System software development (OS, runtime library, communication library, etc.)","Research and development of application(s)","I have not read it, but I plan to.","I read articles found on Internet.","I have never read any MPI books","Open MPI","I was said to use it.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Domain decomposition","Collective communications;MPI datatypes;PMPI interface","MPI with OpenMP (or multithread)","I do not know or I do not care.","No appropriate lecture / book / info.","Sometimes","No, MPI calls are scattered in my programs.","No","I do not know if there is room for performance tuning.","I am not investigating any alternatives.","","Another API which is easier and/or simpler to use","Process topologies","I prefer to have new API which is simpler and/or easier-to-use.","1"
"2019/04/10 6:17:02 AM AST","Governmental institute","Germany","5","5","C/C++","more than 10 years","more than 10 years","System software development (OS, runtime library, communication library, etc.);Numerical application and/or library","Research and development of application(s);Research and development software tool(s)","I read only the chapters of interest for my work.","Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","","Open MPI;MVAPICH;Intel MPI;IBM MPI (BG/Q, PE, Spectrum)","I am familiar with it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Performance tuning","","Point-to-point communications;Collective communications;MPI datatypes;One-sided communications;Persistent communications","I have never called MPI_INIT_THREAD","I have no obstacles.","Mostly","Yes, to minimize the changes of communication API.","OpenMP;Pthread","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","Low-level communication layer provided by vendor (Verbs, DCMF, ...).","Latency","MPI is providing all the communication semantics required by my application","One-sided communication;Communicator and group management","API should be clearly versioned.","5"
"2019/04/10 10:18:18 AM AST","College/University","Switzerland","5","1","C/C++;Python","between 5 and 10 years","between 2 and 5 years","Parallel language (incl. domain specific language);Numerical application and/or library","Research and development of application(s);Research and development software tool(s);Parallelization of sequential program(s)","No, and I will not read it.","I have not learned MPI.;Reverse engineering","I have never read any MPI books","Open MPI;Intel MPI","I could not have any choice (the one provided by a vendor).","I search the Internet (Google / Stack Overflow).","Algorithm design","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;Dynamic process creation;Persistent communication;MPI with OpenMP (or multithread)","Point-to-point communications","I have never called MPI_INIT_THREAD","No appropriate lecture / book / info.;Too complicated and hard to understand.","Never","Yes, to minimize the changes of communication API.","OpenMP","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","no clue","no clue","no clue","I do not know or I do not care.","4"
"2019/04/10 11:52:30 PM AST","College/University","China","4","4","Fortran 90 or newer","between 5 and 10 years","between 5 and 10 years","Computational Fluid Dynamics","Research and development of application(s)","","I read articles found on Internet.","","MPICH;Open MPI;MVAPICH;Intel MPI;Cray MPI;IBM MPI (BG/Q, PE, Spectrum)","I could not have any choice (the one provided by a vendor).","I read online documents (such as man pages).","Performance tuning","One-sided communications;Dynamic process creation;Persistent communication","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread)","","Too many routines.;No appropriate lecture / book / info.","I rely on the default ‘Errors abort’ error handling","No, MPI calls are scattered in my programs.","OpenMP;OpenACC","I have no chance to investigate.","I am not investigating any alternatives.","Bandwidth","Another API which is easier and/or simpler to use","One-sided communication","I prefer to have new API for better performance.","5"
"2019/04/11 10:31:38 AM AST","Governmental institute","Germany","5","2","Fortran 90 or newer","more than 10 years","less than 2 years","Numerical application and/or library;Big data","Research and development of application(s);Parallelization of sequential program(s)","I read only the chapters of interest for my work.","Other lectures or tutorials (workplace, conference).","MPI: A Message Passing Interface Standard","Intel MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).","Debugging","Dynamic process creation;Persistent communication;PMPI interface","Collective communications;One-sided communications","I have never called MPI_INIT_THREAD","I have no obstacles.","Always","No, MPI calls are scattered in my programs.","No","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","MPI is providing all the communication semantics required by my application","There are no unnecessary features","API should be clearly versioned.","2"
"2019/04/11 8:07:53 PM AST","College/University","Spain","6","5","C/C++;Fortran 90 or newer;Python","more than 10 years","more than 10 years","Numerical application and/or library;Workflow and/or In-situ;Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Research and development software tool(s)","I have not read it, but I plan to.","I had lecture(s) at school.;I read articles found on Internet.;I work with MPI quite a lot","","MPICH;Open MPI;Intel MPI","I like to use it.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","One-sided communications;Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes","I have never called MPI_INIT_THREAD","I mostly use the same things.  Presumably there are many other things, but I have not really needed those.","I rely on the default ‘Errors abort’ error handling","I/we use Python/C, and I/we mostly use Python bindings for MPI calls (not mpi4py though, for historical reasons)","","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.);Another API which is easier and/or simpler to use;Often it is not raw performance which is most important, but rather how to get a particular job done.  Last time I checked (a very long time ago) it was somehow difficult to write a process pool, something easily done with ordinary threading (I may be ignorant though)","","API should be clearly versioned.","3"
"2019/04/12 5:06:54 AM AST","Governmental institute","Switzerland","5","4","Julia","more than 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s);Research and development software tool(s);Parallelization of sequential program(s);Performance tuning of MPI program(s);Debugging MPI programs","I read only the chapters of interest for my work.","I read book(s).;I usually look up while working what I need in the html version(s) of the MPI standard documents.","Using MPI - 1st Edition (Book by Bill Gropp)","Open MPI;Cray MPI","I could not have any choice (the one provided by a vendor).","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI + CUDA C / CUDA-aware MPI","I have never called MPI_INIT_THREAD","Too many routines.","I rely on the default ‘Errors abort’ error handling","Yes, to keep the numerical algorithm implementation separated from MPI communication.","OpenMP;CUDA","No, my MPI programs are well-tuned.","A framework or library using MPI.;A Domain Specific Language (DSL).","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","Dynamic process creation;Error handlers","Yes, compatibility is very important for me.","3"
"2019/04/12 5:16:06 AM AST","Governmental institute","Germany","5","5","C/C++;Python","more than 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s);Performance tuning of MPI program(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","","MPICH;Open MPI;MVAPICH;Intel MPI","I like to use it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","PMPI interface","Point-to-point communications;Collective communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED;MPI_THREAD_SERIALIZED;MPI_THREAD_MULTIPLE","I have nobody to ask.","Sometimes","Yes, to minimize the changes of communication API.","OpenMP;GASPI","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).","Multi-threading support","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","","I prefer to have new API for better performance.","4"
"2019/04/12 5:24:19 AM AST","Governmental institute","Germany","3","2","C/C++","between 5 and 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s)","No, and I will not read it.","I have not learned MPI.","","Open MPI;Intel MPI","I could not have any choice (the one provided by a vendor).","I search the Internet (Google / Stack Overflow).","Implementation issue workaround","Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications","I do not know or I do not care.","Too complicated and hard to understand.","Never","Yes, to minimize the changes of communication API.","No","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","MPI provides all semantics I need","MPI is providing all the communication semantics required by my application","There are no unnecessary features","Yes, compatibility is very important for me.","4"
"2019/04/12 8:01:43 AM AST","Governmental institute","India","4","5","C/C++","more than 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s);Parallelization of sequential program(s);Performance tuning of MPI program(s);Debugging MPI programs","I read only the chapters of interest for my work.","Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","I have never read any MPI books","MPICH;Open MPI;Intel MPI;Cray MPI;IBM MPI (BG/Q, PE, Spectrum)","I have no special reason.","I read online documents (such as man pages).;I ask colleagues.;I know almost all MPI routines.","Algorithm design","PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;Dynamic process creation;Persistent communications;MPI with OpenMP (or multithread)","I have never called MPI_INIT_THREAD","Too many routines.","Sometimes","No, MPI calls are scattered in my programs.","OpenMP;Pthread;CUDA","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","I am not investigating any alternatives.","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","There are no unnecessary features","I prefer to have new API for better performance.","5"
"2019/04/12 9:08:48 AM AST","College/University","Switzerland","4","3","C/C++;Python","more than 10 years","between 2 and 5 years","Numerical application and/or library;Visualization","Research and development of application(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;I had lecture(s) at school.","I have never read any MPI books","MPICH;Open MPI;Cray MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Algorithm design","One-sided communications;Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes","MPI_THREAD_MULTIPLE","Too many routines.","Never","Yes, to minimize the changes of communication API.","OpenMP","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","MPI provides all semantics I need","MPI is providing all the communication semantics required by my application","Process topologies;Dynamic process creation;Error handlers","Yes, compatibility is very important for me.","3"
"2019/04/12 11:26:05 AM AST","Governmental institute","Switzerland","5","4","C/C++;Fortran 90 or newer;Python","more than 10 years","more than 10 years","Numerical application and/or library;Lattice Field Theory","Research and development of application(s)","I read only the chapters of interest for my work.","I read book(s).;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).","Using MPI;MPI: The Complete Reference","Open MPI;MVAPICH;Intel MPI;Cray MPI;IBM MPI (BG/Q, PE, Spectrum)","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read book(s) (except the MPI standard).;I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Implementation issue workaround","PMPI interface","Point-to-point communications;Collective communications;MPI datatypes;One-sided communications","I have never called MPI_INIT_THREAD","I do not like the API.","I rely on the default ‘Errors abort’ error handling","No, MPI calls are scattered in my programs.","","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).","Bandwidth","Latency hiding (including asynchronous completion);Resilience (fault tolerance);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","","I prefer to have new API which is simpler and/or easier-to-use.","3"
"2019/04/13 6:42:31 AM AST","Governmental institute","Germany","6","6","C/C++;Fortran 90 or newer;Python","more than 10 years","between 5 and 10 years","Numerical application and/or library;Big data;Workflow and/or In-situ;Visualization","Research and development of application(s);Research and development software tool(s);Parallelization of sequential program(s);Performance tuning of MPI program(s);Debugging MPI programs","I read only the chapters of interest for my work.","I read book(s).","Parallel Programming with MPI","MPICH;Open MPI;Intel MPI;Cray MPI;IBM MPI (BG/Q, PE, Spectrum)","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read online documents (such as man pages).","Domain decomposition","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE","Too many routines.","Always","Yes, to minimize the changes of communication API.","OpenMP;Pthread;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","A framework or library using MPI.;Low-level communication layer provided by vendor (Verbs, DCMF, ...).","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","There are no unnecessary features","Yes, compatibility is very important for me.","3"
"2019/04/14 4:31:15 AM AST","College/University","Switzerland","5","5","C/C++;Python","between 5 and 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s);Research and development software tool(s);Parallelization of sequential program(s)","No, and I will not read it.","I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).","I have never read any MPI books","MPICH;Open MPI;MVAPICH;Cray MPI;MS MPI","I like to use it.","I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Finding appropriate MPI routines","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications","I have never called MPI_INIT_THREAD","Too many routines.;No appropriate lecture / book / info.","Never","No, MPI calls are scattered in my programs.","CUDA","I think there is room but I do not know how to tune it.","A framework or library using MPI.","Multi-threading support","Endpoints (multi-thread, sessions)","There are no unnecessary features","I prefer to have new API which is simpler and/or easier-to-use.","3"
"2019/04/14 7:55:34 AM AST","College/University","Czech Republic","5","5","C/C++","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s);Performance tuning of MPI program(s)","I read most of it.","I read book(s).;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).","Parallel Programming with MPI;Parallel Programming in C with MPI and OpenMP","Open MPI;Intel MPI","I like to use it.","I read online documents (such as man pages).;I know almost all MPI routines.","Domain decomposition","","Point-to-point communications;Collective communications;MPI datatypes;Persistent communications;MPI with OpenMP (or multithread)","MPI_THREAD_FUNNELED","Removed C++ interface, exceptions!!!, int32 for most of counts, displ, etc.","Always","Yes, to minimize the changes of communication API.","OpenMP;CUDA","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.","Latency","Resilience (fault tolerance);Another API which is easier and/or simpler to use","One-sided communication;Dynamic process creation","I prefer to have new API which is simpler and/or easier-to-use.","4"
"2019/04/14 12:08:16 PM AST","Governmental institute","Switzerland","5","5","C/C++;Fortran 90 or newer;Python","more than 10 years","more than 10 years","Numerical application and/or library;scientific software","Research and development of application(s);Parallelization of sequential program(s);Performance tuning of MPI program(s)","I read most of it.","I read the MPI standard document.;I read book(s).;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","Beginning MPI (An Introduction in C);Parallel Programming with MPI;Using MPI;Parallel Programming in C with MPI and OpenMP;MPI: The Complete Reference","MPICH;Open MPI;MVAPICH;Cray MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I know almost all MPI routines.","Domain decomposition","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;Dynamic process creation;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE;I have never called MPI_INIT_THREAD","Too many routines.","Sometimes","Yes, to minimize the changes of communication API.","OpenMP;Pthread;OpenACC;OpenCL;CUDA","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.;A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).","Message injection rate","Resilience (fault tolerance)","Dynamic process creation","I prefer to have new API for better performance.","4"
"2019/04/15 4:29:46 AM AST","Other","Italy","4","5","C/C++;Fortran 90 or newer;Python","more than 10 years","more than 10 years","Numerical application and/or library;Image processing","Research and development software tool(s);Parallelization of sequential program(s)","I read only the chapters of interest for my work.","I read book(s).;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","Using MPI;MPI: The Complete Reference","MPICH;Open MPI;Intel MPI","I was said to use it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Performance tuning","Dynamic process creation;Persistent communication","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","I have never called MPI_INIT_THREAD;I do not know or I do not care.","I have no obstacles.","Mostly","Yes, but I have no special reason for doing that.","OpenMP;Pthread","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","MPI provides all semantics I need","MPI is providing all the communication semantics required by my application","Dynamic process creation","Yes, compatibility is very important for me.","3"
"2019/04/15 4:51:16 AM AST","Governmental institute","Italy","4","4","C/C++;Fortran 90 or newer;Python","between 2 and 5 years","less than 2 years","System software development (OS, runtime library, communication library, etc.);Numerical application and/or library","Research and development of application(s)","I have not read it, but I plan to.","I had lecture(s) at school.","","MPICH;Open MPI;Intel MPI","","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Algorithm design","Point-to-point communications;Communicator operations (split, duplicate, and so on);Dynamic process creation;Persistent communication","Collective communications;MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","","Sometimes","","","","","","","","",""
"2019/04/15 5:06:26 AM AST","Governmental institute","Czech Republic","4","3","C/C++;Python","between 5 and 10 years","between 2 and 5 years","Numerical application and/or library;Workflow and/or In-situ","Research and development of application(s)","I read only the chapters of interest for my work.","I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","","Open MPI;Intel MPI","I am familiar with it.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Algorithm design","Communicator operations (split, duplicate, and so on);PMPI interface","Point-to-point communications;Collective communications;MPI datatypes;MPI with OpenMP (or multithread)","I do not know or I do not care.","","Sometimes","No, MPI calls are scattered in my programs.","OpenMP;OpenACC","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Latency","Resilience (fault tolerance)","There are no unnecessary features","I prefer to have new API for better performance.","4"
"2019/04/15 7:40:23 AM AST","College/University","Germany","6","6","C/C++;Python","more than 10 years","more than 10 years","Parallel language (incl. domain specific language);Numerical application and/or library;Image processing","Research and development software tool(s);Parallelization of sequential program(s);Performance tuning of MPI program(s)","I read most of it.","I read the MPI standard document.;I read book(s).;Other lectures or tutorials (workplace, conference).","Parallel Programming with MPI;Using MPI;Parallel Programming in C with MPI and OpenMP","MPICH;Open MPI;IBM MPI (BG/Q, PE, Spectrum)","I am familiar with it.","I read the MPI Standard document (web/book).;I read book(s) (except the MPI standard).;I read online documents (such as man pages).","Algorithm design","","Point-to-point communications;Collective communications;MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","Too many routines.","Mostly","Yes, to minimize the changes of communication API.","OpenMP;OpenACC;OpenCL;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","A framework or library using MPI.;A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).;A Domain Specific Language (DSL).","Multi-threading support","Resilience (fault tolerance)","Dynamic process creation","I prefer to have new API for better performance.","5"
